Serial No.,GRE Score,Chance of Admit
200,313,0.72
201,317,0.73
202,315,0.72
203,340,0.97
204,334,0.97
205,298,0.69
206,295,0.57
207,315,0.63
208,310,0.66
209,305,0.64
210,301,0.68
211,325,0.79
212,328,0.82
213,338,0.95
214,333,0.96
215,331,0.94
216,330,0.93
217,322,0.91
218,321,0.85
219,324,0.84
220,312,0.74
221,313,0.76
222,316,0.75
223,324,0.76
224,308,0.71
225,305,0.67
226,296,0.61
227,306,0.63
228,312,0.64
229,318,0.71
230,324,0.82
231,313,0.73
232,319,0.74
233,312,0.69
234,304,0.64
235,330,0.91
236,326,0.88
237,325,0.85
238,329,0.86
239,310,0.7
240,299,0.59
241,296,0.6
242,317,0.65
243,324,0.7
244,325,0.76
245,314,0.63
246,328,0.81
247,316,0.72
248,311,0.71
249,324,0.8
250,321,0.77
251,320,0.74
252,316,0.7
253,318,0.71
254,335,0.93
255,321,0.85
256,307,0.79
257,309,0.76
258,324,0.78
259,326,0.77
260,331,0.9
261,327,0.87
262,312,0.71
263,308,0.7
264,324,0.7
265,325,0.75
266,313,0.71
267,312,0.72
268,314,0.73
269,327,0.83
270,308,0.77
271,306,0.72
272,299,0.54
273,294,0.49
274,312,0.52
275,315,0.58
276,322,0.78
277,329,0.89
278,320,0.7
279,308,0.66
280,304,0.67
281,311,0.68
282,317,0.8
283,312,0.81
284,321,0.8
285,340,0.94
286,331,0.93
287,336,0.92
288,324,0.89
289,314,0.82
290,313,0.79
291,307,0.58
292,300,0.56
293,302,0.56
294,312,0.64
295,316,0.61
296,317,0.68
297,310,0.76
298,320,0.86
299,330,0.9
300,305,0.71
301,309,0.62
302,319,0.66
303,322,0.65
304,323,0.73
305,313,0.62
306,321,0.74
307,323,0.79
308,325,0.8
309,312,0.69
310,308,0.7
311,320,0.76
312,328,0.84
313,311,0.78
314,301,0.67
315,305,0.66
316,308,0.65
317,298,0.54
318,300,0.58
319,324,0.79
320,327,0.8
321,317,0.75
322,323,0.73
323,314,0.72
324,305,0.62
325,315,0.67
326,326,0.81
327,299,0.63
328,295,0.69
329,324,0.8
330,297,0.43
331,327,0.8
332,311,0.73
333,308,0.75
334,319,0.71
335,312,0.73
336,325,0.83
337,319,0.72
338,332,0.94
339,323,0.81
340,324,0.81
341,312,0.75
342,326,0.79
343,308,0.58
344,305,0.59
345,295,0.47
346,316,0.49
347,304,0.47
348,299,0.42
349,302,0.57
350,313,0.62
351,318,0.74
352,325,0.73
353,303,0.64
354,300,0.63
355,297,0.59
356,317,0.73
357,327,0.79
358,301,0.68
359,314,0.7
360,321,0.81
361,322,0.85
362,334,0.93
363,338,0.91
364,306,0.69
365,313,0.77
366,330,0.86
367,320,0.74
368,311,0.57
369,298,0.51
370,301,0.67
371,310,0.72
372,324,0.89
373,336,0.95
374,321,0.79
375,315,0.39
376,304,0.38
377,297,0.34
378,290,0.47
379,303,0.56
380,311,0.71
381,322,0.78
382,319,0.73
383,324,0.82
384,300,0.62
385,340,0.96
386,335,0.96
387,302,0.46
388,307,0.53
389,296,0.49
390,320,0.76
391,314,0.64
392,318,0.71
393,326,0.84
394,317,0.77
395,329,0.89
396,324,0.82
397,325,0.84
398,330,0.91
399,312,0.67
400,333,0.95
401,304,0.63
402,315,0.66
403,324,0.78
404,330,0.91
405,311,0.62
406,302,0.52
407,322,0.61
408,298,0.58
409,297,0.57
410,300,0.61
411,301,0.54
412,313,0.56
413,314,0.59
414,317,0.49
415,321,0.72
416,327,0.76
417,315,0.65
418,316,0.52
419,309,0.6
420,308,0.58
421,299,0.42
422,321,0.77
423,322,0.73
424,334,0.94
425,325,0.91
426,323,0.92
427,312,0.71
428,310,0.71
429,316,0.69
430,340,0.95
431,311,0.74
432,320,0.73
433,324,0.86
434,316,0.71
435,306,0.64
436,309,0.55
437,310,0.58
438,317,0.61
439,318,0.67
440,312,0.66
441,305,0.53
442,332,0.79
443,331,0.92
444,321,0.87
445,324,0.92
446,328,0.91
447,327,0.93
448,320,0.84
449,312,0.8
450,315,0.79
451,320,0.82
452,324,0.89
453,328,0.93
454,319,0.73
455,310,0.71
456,305,0.59
457,299,0.51
458,295,0.37
459,312,0.69
460,329,0.89
461,319,0.77
462,301,0.68
463,307,0.62
464,304,0.57
465,298,0.45
466,305,0.54
467,314,0.71
468,318,0.78
469,323,0.81
470,326,0.86
471,320,0.87
472,311,0.64
473,327,0.9
474,316,0.67
475,308,0.67
476,300,0.59
477,304,0.62
478,309,0.65
479,318,0.71
480,325,0.79
481,321,0.8
482,323,0.78
483,328,0.83
484,304,0.71
485,317,0.73
486,311,0.7
487,319,0.68
488,327,0.79
489,322,0.76
490,302,0.65
491,307,0.67
492,297,0.54
493,298,0.53
494,300,0.62
495,301,0.68
496,332,0.87
497,337,0.96
498,330,0.93
499,312,0.73
500,327,0.84
