hotel_name,rating,title,content
Hampton Inn Suites National HarborAlexandria Area,4,Awesome Stay,"My sister came into town so we decided to go to The National Harbor for a night. Checking in, the hotel staff was very pleasant. Parking is in a garage behind the hotel, for 18. Our room was clean with nice views. The bed was very comfortable. We were able to walk comfortably to the harbor and sightsee. There are also restaurants and bars within walking distance. Breakfast was great, with canadian bacon and sausage patty meat options. There was also a waffle station, eggs, potatoes, fruit, yogurt, cereal, muffins, and other pastries. Checkout was a breeze, and the front desk staff again, was very pleasant. I very much enjoyed my stay and I will definitely return!"
Hampton Inn Suites National HarborAlexandria Area,5,Reasonable price for exceptional hotel,Free breakfast! Attentive staff Fantastic location
Hampton Inn Suites National HarborAlexandria Area,5,Excellent!,"Excellent experience. Due to a mix-up on my part with the online travel service it was set up as a king rather than two queen beds, for two guys. I immediately called at the time and Hampton said they would make a note that a room with two queens was needed. When i got there, they didn't have a 2-queen room so they put me up in another king room (and my buddy stayed in the original room) at NO additional expense, and I moved to a 2-queen room the next day. That is awesome, customer-oriented service."
Hampton Inn Suites National HarborAlexandria Area,5,Great Room,The room was really big and clean. The staff was great. The hotel offers free breakfast that was really good ( not the usual crappy free breakfast) The only thing I didn't like about the room was that the air conditioner was regulated a motion sensor. We happened to be staying here on one of the hottest days of the year. The unit only stays on if the motion censor registers a person being in the room. Upon arriving the room was hot. It took about 20 mins for it to cool off. Also the AC cut off during the night when we fell asleep (No movement). I woke up in a pool of sweat and had to get up a walk around periodically to keep the AC going. That really sucked..
Hampton Inn Suites National HarborAlexandria Area,4,GREAT LOCATION,THE LOCATION OF THE HOTEL WAS OUTSTANDING. BUT THERE IS AND ADDITIONAL COST FOR PARKING JUST KEEP THAT IN MIND . IF YOU PAY FOR PARKING AT THE TIME YOU CHECK - IN BE SURE TO HAVE IT OUT BEFORE 1 PM THE NEXT DAY
Hampton Inn Suites National HarborAlexandria Area,4,great stay,"was too quick, but very nice area"
Hampton Inn Suites National HarborAlexandria Area,4,Best,"clean, good area, very kind crew, easy to park"
Hampton Inn Suites National HarborAlexandria Area,4,Easter Get Away,We had a great overnight trip to the National Harbor near DC. All of the sites and entertainment were within walking distance!
Hampton Inn Suites National HarborAlexandria Area,5,Hampton inn,I loved my stay VIP service all the way. I didn't want to leave. I can honestly say I will visit again. I give it 5 stars
Hampton Inn Suites National HarborAlexandria Area,5,Overall it was good but AC sucks!!,"The only problem I have was their sensorize INNCOM thermostat for air conditioning unit to start-up. If there are not movement inside the room, it will not kick in..... sucks!! the trick is, you have to keep moving while sleeping to keep the AC running (LOL)...."
Hampton Inn Suites National HarborAlexandria Area,5,Extremely comfortable,"Convenient and comfortable. Staff is great, breakfast and WiFi is a bonus."
Hampton Inn Suites National HarborAlexandria Area,3,TV sucks,I was really disappointed with the TV service. Very few channels and poor quality.
Hampton Inn Suites National HarborAlexandria Area,5,Will definately stay there again,"Awesome, Overall"
Hampton Inn Suites National HarborAlexandria Area,5,Great conference stay,Better with more extras like breakfast. Preferred place to sleep for conference.
Hampton Inn Suites National HarborAlexandria Area,4,Nice,Very good experience. Staff was great. Enjoyed my times especially after my previous fiasco at that other hotel.
Hampton Inn Suites National HarborAlexandria Area,5,More than Expected,"The hotel is located near all the attractions on the Harbor. We were provided more than we expected. There was parking right across the street restaurants within 5 minute walking distance and most of all hot and cold continental breakfast in the morning and hot coffee and tea available all day in the lobby. The rooms were very comfortable. I slept just like I was at home. Oh, I can't forget the staff: they were on their job with an attitude of excellence!"
Hampton Inn Suites National HarborAlexandria Area,5,Conference stay,"Repeat trip to this hotel for national conference attendance. Provides a quality stay, business center kept me in touch and great value for limited travel budget."
Hampton Inn Suites National HarborAlexandria Area,5,Amazing!,I can't comment on the breakfast because we slept through it but everything else was excellent! I dont know why anyone would pay twice the price to stay at the Gaylord. 5 stars all the way!
Hampton Inn Suites National HarborAlexandria Area,5,Happy in Texas.,Our room was a bit small. There was no microwave in the room. Location was more for couples than for family. The room itself And service were excellent.
Hampton Inn Suites National HarborAlexandria Area,5,"Great staff, great breakfast, great experience","This hotel is a peach. The staff are friendly, the hot breakfast filling and the rooms are immaculate. This should be a poster child for how to run a hotel."
Hampton Inn Suites National HarborAlexandria Area,5,Great hotel,"Hampton Inn never disappoints. Always an affordable, clean hotel with attentive and friendly staff. The breakfast is always a plus too. Also, the National Harbor is a nice area full of shops and dining choices and seems to be a family friendly hangout destination for locals."
Hampton Inn Suites National HarborAlexandria Area,4,Good hotel,I stayed here with some friends for a convention. It was a good room and the free breakfast was nice.
Hampton Inn Suites National HarborAlexandria Area,5,Affordable premium lodging,"The hotel offers comfortable, somewhat elegant rooms but I suppose I was more impressed with the personnel and the warmth you get interacting with them. But for my phone call bills which seemed a bit high, my stay overall was great."
Hampton Inn Suites National HarborAlexandria Area,5,"Friendly staff, large clean room.","We were there for 3 nights and used it as a staging area for sightseeing in DC and Baltimore. It's a nice, new hotel with reasonable rates. The staff was great with our kids, who had a blast at the pool and the 24/7 snack bar. The continental breakfast was great, but they should consider expanding their hours or at least allowing guests to finish the food that is out at 10, because every morning the food was taken away promptly at 10:00 even though the area was packed with guests still trying to get breakfast. Parking was 13/day and right across the street, which is quite reasonable for the DC area."
Hampton Inn Suites National HarborAlexandria Area,4,Good place to Stay,"Reasonable rates with free breakfast and right in front of Gaylord National Resort worked for me very well. The rooms have good size bathrooms and the air conditioning in the rooms was excellent. Parking is 11 per day and that is why I did not give it 5 stars. However, at National Harbor 11 is not bad especially when Gaylord charges double of it per day."
Fairmont Grand Del Mar,5,Hosted Client Event,"We hosted our annual Client Event at The Grand Del Mar and it was excellent!! The service, property, rooms, restaurants, and GOLF absolutely magnificent. Our conference managers were a gem, great service! Thank you for making an important event run so smoothly."
Fairmont Grand Del Mar,5,Splendid,"We enjoyed every minute of our stay in this breathtaking luxurious resort. The hotel is well kept and boasts caring and attending staff that do their best to make your stay memorable. The hotel offers great rooms, amenities and activities for all ages. I fell and fractured my hand on the last day of our stay (off property) and the... More"
Fairmont Grand Del Mar,5,Perfect start to the honeymoon,"We arrived here very tired after 24 hours of travel and airports and from the moment we arrived we felt like royalty. We dined a Amaya multiple times (please see separate review). The room was stunning and more than we could ever expect, nothing was to little for the staff and they all seemed genuinely friendly even down to the... More"
Fairmont Grand Del Mar,5,Best hotel in the country!,"Stayed here for Thanksgiving and had the best experience. Before we arrived they asked my three year old little boy's name and when we arrived they had the most adorable kids travel pillow and personalized cookie waiting for him. They had children's games on the lawn right outside our bottom floor room, 105, and he had his face painted for... More"
Fairmont Grand Del Mar,5,Truly a grand experience,"This exquisite property located in the penasquitos canyon of North County is a spectacular retreat. In a setting resembling a Mediterranean villa, the hotel is truly grand, with spacious rooms, several dining options and cozy sitting areas to relax and soak up the well appointed spaces and beautifully manicured grounds. The resort amenities include golf, tennis, heated pools and a... More"
Fairmont Grand Del Mar,5,You MUST stay here,"Five of the last six years, our company has hosted our annual meeting at the Grand Del Mar (and we regret not having it six out of six years). The GdM may be the top place to stay in the US, thus my recommendation is in the title of the review. The GdM is not inexpensive, but it is worth... More"
Fairmont Grand Del Mar,4,A nice getaway for a price,We drove down for a weekend getaway and to celebrate a special birthday. Our infant son accompanied us. The room was nice but the bathroom was fabulous. We appreciated the separate large shower from the tub and the private toilet. I wasn't as much of a fan of the closet being inside the bathroom as it was a trip to... More
Fairmont Grand Del Mar,5,Amazing Experience,This resort is GORGEOUS!! Check in was perfect our room wasnt ready (we were there early) so they took my phone number while we had drinks by the pool and in 20 mins or so our room was ready! The next day we had spa appts and the receptionist heard it was our honeymoon trip so after our massages we... More
Fairmont Grand Del Mar,5,Wonderful quiet resort,The resort and staff are wonderful. The hotel is very nice and the groups are beautiful. The location is secluded so you need a rental car or to book the house car in advance. The concierge staff has not been to most of the spots so use trip advisor to help find the right places.
Fairmont Grand Del Mar,4,It Almost Lives Up To Its Rating,"This is a very, very, very good hotel. My expectations were high because of the reviews I had read and it didn't quite meet my expectations. I know I'm knit-picking but while the abundance of fresh flower petals in my room were very nice I would gladly have traded them for a room service breakfast with hot coffee, hot ham... More"
Fairmont Grand Del Mar,5,Its hard to improve on perfection.,"Expensive Yes. Service Above the norm! Nickel and dime you on the small stuff Nope! (one of my pet peeves if you are going to stay at a hotel of this caliber) This property gives you 5 star service. Forgot your work out clothes Let the staff know your size. Need some feminine products, be there in 5 minutes. The... More"
Fairmont Grand Del Mar,5,Top choice for San Diego,"If you don't mind staying out of town, the Fairmont Grand Del Mar is a top quality choice for San Diego located about 25 minutes north of the airport. It is a large traditional colonial property, with a beautiful golf course on the west side of the grounds, ample parking, equestrian facilities and a good spa (which has the best... More"
Fairmont Grand Del Mar,5,Stunning Hotel for 30th Birthday,"This property is absolutely pristine. The grounds are perfectly maintained, the rooms are luxurious with exquisite detail and the hotel in general is just a site to see. The location is great if you want to be away from the city and in a quiet area with gorgeous views of the hills (but close enough to to drive to Del... More"
Fairmont Grand Del Mar,5,Top Notch Hotel in SoCal,"I love The Grand Del Mar in Del Mar California. This might have been my 6th time there. It is the only hotel in the area that i will stay at. It is truly a 5 star property. The staff is professional and very attentive. The rooms are very spacious, with marble bathrooms and separate shower and soaking tub. The... More"
Fairmont Grand Del Mar,5,San Diego Fairmont Excellence,"We had a wonderful stay at the Fairmont! This is an excellent hotel, with great attention to detail including hotel grounds, architecture, amenities and staff. Service is first class and natural, you are made to feel very welcome. Great looking golf course, and plenty of other activities to enjoy such as walking, the pool, tennis. Or just relax in the... More"
Fairmont Grand Del Mar,5,Best Hotel I have EVER stayed at,"To date, this takes the prize. It did not overwhelm me but I was, over the four days I stayed, consistently well served and impressed at the degree of detail that was maintained in every aspect of the experience. In the same way that the hotel service was a consistently delivered, high degree of service, without being over the top,... More"
Best Western at OHare,4,Fly and go,It's a great place to stay and leave a car if you are flying out. The courtesy shuttle takes 10 minutes to get to O'Hare.
Best Western at OHare,5,Helpful Staff!,"Give Robert a raise! We were trying to catch a flight from O'Hare to ATL early in the morning and my girlfriend forgot her phone in the room. Luckily, we called and he managed to get the phone as we made our way back on the provided shuttle bus. Orlando the shuttle driver was quick to pull us into our... More"
Best Western at OHare,3,Decent hotel at O'Hare.,Average hotel for decent price. It was balanced. Housekeeping did leave our door only ajar after cleaning one day. Arrrggghhhh!!!!! Nothing was missing.
Best Western at OHare,3,Bad,The room key did not work i to go to lobby 4 times no parking under heavy construction noise the staff very incompetent I will not come back to this hotel
Clarion Resort Waterpark,5,Excellent We Had a BLAST in the WATER Park Hotel,We Had the best time ever! r r What a ball we had at Clarion Resort Waterpark! r r The place was large enough to have plenty of rides but small enough to walk comfortably. r r The entire facility is NEW and all the rooms are well
Virgin Hotels Chicago,5,Awesome hotel.,"Awesome hotel. Virgin really took the time to figure out all things at are frustrating about staying in a hotel and fixed them - kudos!!! The hotel will become a regular haunt in the future. From free wifi, free cocktails, a mini bar you're not terrified to touch, not to mention the no check out time, they really are way ahead of the rest. Oh by the way did I mention the really cool room... Awesome! Highly recommend the hotel. From young teens to my parents in their 70's the hotel met our every need."
Virgin Hotels Chicago,4.8,Impeccable customer service overall experience,"Bad: The bed wasn't that comfy, which was surprising given all of the other amazing details. Sheets were rough/stiff- not cozy. Could be easily fixed, though!. Good: This was by far one of the best hotel experiences I've ever had. Check-in and check-out was super fast, staff was phenomenal, and the room was very intuitively set-up with thoughtful details technology. It was clear that Virgin isn't just a typical hotel. The chamber set-up of the room allowed for privacy comfort, even in a relatively small space. Snacks mini-bar had 7-11 prices. Everything was super clean, well serviced and wonderful. In short: STAY HERE!"
Virgin Hotels Chicago,4.6,"Very comfy beds, great lobby/bathroom","Bad: Noisy in lower floors, but not at all at higher ones. Good: Very comfy beds, great lobby/bathroom"
Virgin Hotels Chicago,4.6,Staff went out of their way after checkout to locate an item...,Good: Staff went out of their way after checkout to locate an item I had left in the room. The room had already been cleaned and the staff got the item back to me as quickly as possible. Roof top bar was beautiful.
Virgin Hotels Chicago,4.8,"Great city location, very clean and modern hotel with good staff . Don't miss the happy hour","Bad: A little bit of noise from the 'L' down below, but then again that is part of the character of the city. Good: Overall cleanliness, new feel, friendly efficient staff, great happy hour! Excellent location."
Virgin Hotels Chicago,3.55,Good hotel terrible room rate!,Bad: The room rate was terrible we had a Booking.com rate that was not honoured it soured the stay and was a big difference. We to date have no explanation!. Good: Location
Virgin Hotels Chicago,4.4,Comfortable hotel in a great location.,Bad: Had a couple of glitches getting the room serviced but otherwise very friendly and helpful staff. Good: Great location. Nice rooms with exceptionally comfortable bed.
Virgin Hotels Chicago,5,A fun place to stay with great staff and lots going on in...,Good: A fun place to stay with great staff and lots going on in and around the hotel.
Virgin Hotels Chicago,4.6,Honestly one of the best stays I've ever had (and I travel a lot!),Would be nice if the duvet were in a duvet cover as I just get tangled between the flat sheets and the comforter Gym could really do with some more variety in terms of machinery - Its impossible to do much leg work as there is no squat rack with a bar - or even a smith machine which has multiple purposes Super helpful staff 24/7 - very accommodating of my unusual hours Room service menu is amazing Views are amazing Cerise Bar on the roof is epic and the bartenders are amazing I will be coming back and SOON!
Virgin Hotels Chicago,5,Beautiful hotel and great value,Bad: The hotel is next to train tracks so there is some noise from that pretty often but it's really not so bad and you kind of have to expect some noise when you're staying at a hotel that's literally in the middle of the city. Good: Very tech friendly as the hotel has its own smartphone app which allows you to order room service and control the thermostat among other things. The staff is very friendly and accommodating. The room is designed very well. Also the price of the mini bar items are actually reasonable.
Virgin Hotels Chicago,5,PERFECTION,Bad: Loved everything about Virgin Hotel. Good: First and foremost the staff - just wonderful. Friendly and very patient with all the enquiries we made! And we were there for the historic parade to celebrate the Chicago Cubs World Series win and the icing on the cake was another historic win - Ireland beating the All Blacks after 111 years!
Virgin Hotels Chicago,5,"Fun, Funky Energy to a Shiny New Hotel","Bad: A little sticker shock with 65/night valet parking, but I hadn't done my research for cheaper options, so not a big deal. Good: Super hip and definitely a young techy vibe, but everyone was friendly and helpful. Room was as described and very spacious for the location and price. Even though it is right at the corner of the L Tracks, sound wasn't a problem. Exactly what was needed!"
Virgin Hotels Chicago,5,Fun place and great staff,"Bad: Everything was great. Good: Superior experience. Loved everything about this hotel. Very comfortable, well thought out and fun arrangement of the room, great shower and products, good restaurants, wonderful roof bar. Looking forward to the next visit!"
Virgin Hotels Chicago,4.8,Cool hotel in a perfect location,"Bad: We were on the 9th floor and slept really well but could hear the metro. Earplugs are supplied which were useful to my husband. There were two tvs in our one bedroom suite but only one remote control - odd when we wanted to watch two different shows. Good: Absolutely perfect location in Chicago, within one block of the metro, walking distance to most of the top areas to visit and very good restaurants. Very comfortable room and bed, neat layout for the closet and vanity, wonderful shower, cool design features (Vespa chair, red fridge, furniture)."
Virgin Hotels Chicago,4.8,Great location and staff,"Bad: Intermittent barking dog!. Good: Spacious suite, recommend end room on high floor"
Virgin Hotels Chicago,5,I thought flying Virgin was great.... this exceeded my expectations,"Good: The suite was very well apointed, plenty of room for an inroom breakfast --the bed and bedding were very nice. The staff couldnt be nicer We had a great night on the rooftop deck.... we never left the propertysmall plates a DJ and wonderful views. Ill be back"
Virgin Hotels Chicago,4.8,Excellent stay -- I will return,"Bad: A very minor quibble: only one side of the bed had a nightstand. Good: Room design was well thought out and executed, making an average-sized space especially user-friendly for a couple. Also, the room had more power outlets than I've ever seen in a hotel room. Staff was helpful and friendly, second-floor bar was very nice."
Virgin Hotels Chicago,5,Everything,Bad: The view. Good: Everything
Virgin Hotels Chicago,5,Exceptional hotel,"Beds were very comfortable, room amenities perfect. Enjoyed the lobby level coffee shop, roof top bar and happy hour on the 2nd level every evening. A great bonus!"
The Boxer,4.6,Great location to attend a hockey game!,"Bad: Timing seemed to be off. Had to wait a very long time for breakfast, longer than people who had come in after us. Had to wait a very long time for the valet to bring our car, seemed to be some kind of communication issue. They were nice about it, and so were we, but it seemed to be a theme, which was a bit of a disappointment. Good: Nicely appointed room, great location."
The Boxer,4.8,I loved the quirkiness and style of the hotel.,"Good: I loved the quirkiness and style of the hotel. The staff were so friendly and accommodating. The drinks at the bar were top notch and the price for the location was unbeatable. And the bed, the bed was perfect. I slept like a baby."
The Boxer,4.15,Clean and cozy,Bad: I was supposed to get a room with two beds and ended up with a room with one full bed for me and my husband.it was very small!.
The Boxer,2.5,Poor hotel option. More like a poor 3 star.,Staff weren't helpful and no one tried to come and clean our room on several nights. Rooms were very small. Good location
The Boxer,3.95,Location to the garden,Bad: Cost of the valet. Good: Location to the garden
The Boxer,4.6,Complete and good,"Bad: (Valet) parking is expensive. Room was a bit small. Good: Very pleasant experience. The room was good, clean and had a rich minibar. Very nice bar/restaurant/breakfast accomodation. Personell (we were helped by luckas) was extraordinary kind and helpful."
The Boxer,5,Perfect,Good: Beautiful rooms and amenities - L'occitane products. The restaurant Finch great food and amazing bar. Loved the Boxer
The Boxer,5,Dont look past The Boxer for Boston accommodation.,Great location. Extremely comfortable bed and pillows. Wonderful friendly staff.
The Boxer,5,Great location for a reasonable price in Boston.,"Good: The room was very comfortable, great for a couple. We had a wonderful time, it was very conveniently located to the TD Garden, which is where we were attending a concert. It was also very close to the North End and Faneuil hall, which is a great area to visit for food options that are very plentiful."
The Boxer,2.9,nice place but way overpriced,the breakfast at 17 bucks was a bit of disgrace. it is a particular building.
The Boxer,2.9,The Boxer Boston a let down and should have been better!,"Bad: We had booked 2 rooms for our 3 night Boston trip - King Room for us and a Double Double (ie with 2 double beds) for our teenagers. I booked this in December for our July visit. I emailed twice before arrival to request that the rooms were close by (on the same floor) and both times got no reply - and that should have alerted me and to be honest sums up 'Boxer Customer Service'. On arrival we were told that there were no rooms available with 2 beds, the guy on reception seemed clueless how to help us. Our teenagers were supposedly 'upgraded' to a suite where my son had to sleep on a sofa / pull out bed (or share a King size bed with his sister). Totally unacceptable - I booked these rooms 6 months in advance. All in all we had interactions with 4 different staff members (including someone from Accounts who had to process a compensation refund) and at no time did either my wife nor I feel like the Customer . . . . you know the kind The PAYING Customer! So in terms of Comfort score - low because my son was on a sofa bed for 3 nights. In terms of Value for Money - low 1800 and my 16 year old son gets a sofa bed In terms of Staff score - low because they are in serious need of some Customer Service training. Good: The Boxer in Boston SHOULD be a fantastic hotel - it's a great building, location is excellent (we were able to explore everything that Boston has to offer from there), rooms are a good size but overall our stay was not as good as it should have been. Came away from our 3 night stay (planned and booked 6 months earlier) just feeling like we had been let down . . . ."
The Boxer,4,poor room comfort,Bad: poor room comfort no room for clothes very old bath accesories high price.
The Boxer,5,The whole 5 day experience at the hotel was superb- the...,"Good: The whole 5 day experience at the hotel was superb- the room,staff and location were all perfect- thank you The Boxer second time staying with you and all requirements were met."
The Boxer,5,The location,The location
The Boxer,5,Close to TD Garden,Bad: Parking a little expensive.. Good: Close to TD Garden
